Month,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1225489,-,-,-,40.53,-74.58,-5,18,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,Degrees,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
January,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Relative Humidity,Temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,6,9,30,55,839,308,-10,49.6,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,6,10,30,62,917,424,-10,46.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,6,11,30,64,949,488,-10,43.62,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,6,12,30,64,950,491,-9,41.56,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,6,13,30,60,921,433,-9,40.73,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,6,14,30,54,851,323,-8,47.45,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,6,15,30,41,702,174,-3,75.73,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,6,16,30,13,295,23,-5,73.48,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,6,17,30,0,0,0,-5,75.41,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,6,18,30,0,0,0,-5,75.25,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,6,19,30,0,0,0,-6,73.22,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,6,20,30,0,0,0,-6,76.05,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,6,21,30,0,0,0,-7,79.2,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,6,22,30,0,0,0,-7,77.02,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,6,23,30,0,0,0,-7,81.35,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,7,0,30,0,0,0,-7,80.22,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,7,1,30,0,0,0,-7,79.57,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,7,2,30,0,0,0,-8,79.12,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,7,3,30,0,0,0,-8,84.85,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,7,4,30,0,0,0,-8,84.44,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,7,5,30,0,0,0,-8,77.68,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,7,6,30,0,0,0,-8,76.73,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,7,7,30,0,0,0,-8,71.17,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,7,8,30,58,316,112,-6,67.71,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,7,9,30,99,421,226,-6,62.99,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,7,10,30,156,301,276,-5,57.3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,7,11,30,175,350,331,-5,48.21,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,7,12,30,183,312,324,-4,48.49,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
